	C10_S10_bmtagger_1	C11_S11_bmtagger_1	D01_S13_bmtagger_1	D03_S15_bmtagger_1	D04_S16_bmtagger_1	D05_S17_bmtagger_1	D06_S18_bmtagger_1	D07_S19_bmtagger_1	F11_S47_bmtagger_1	GCF_000072485.1_ASM7248v1_genomic	GCF_002208885.1_ASM220888v1_genomic	GCF_900186865.1_49243_F02_genomic
g004660	0	1	1	1	1	1	1	1	1	1	1	1
g004661	1	1	1	1	1	1	1	1	1	1	1	1
g004662	1	1	1	1	1	1	1	1	1	1	1	1
g004663	1	1	1	1	1	0	1	0	0	1	0	0
g004664	1	1	1	1	1	1	1	1	1	1	1	1
g004665	1	1	1	1	1	1	1	1	1	1	0	1
g004666	1	1	1	1	1	1	1	1	1	1	1	1
g004667	1	1	1	1	1	1	1	1	1	1	0	1
g004668	0	1	1	1	1	1	1	1	1	1	1	1
g004669	1	1	1	1	1	1	1	1	1	1	1	1
g004670	1	1	1	1	1	1	1	1	1	1	1	1
g004671	1	1	1	1	1	1	1	1	1	1	1	1
g004672	0	1	1	1	1	1	1	1	1	1	1	1
g004673	1	1	1	1	1	1	1	1	1	1	0	1
g004674	0	0	1	1	1	1	1	1	0	1	0	0
g004675	1	1	1	1	1	1	1	0	1	1	1	1
g004676	0	0	0	0	0	0	0	0	0	1	0	0
g004677	1	1	1	1	1	1	1	1	1	1	1	1
g004678	1	1	1	1	1	1	0	0	0	1	1	1
g004679	1	1	1	1	1	1	1	1	1	1	1	1
g004680	1	1	1	1	1	1	1	1	1	1	1	1
g004681	1	0	1	1	0	1	1	0	1	1	1	1
g004682	1	1	1	1	1	1	1	1	1	1	1	1
g004683	0	1	1	1	1	1	1	1	1	1	1	1
g004684	1	1	1	1	1	1	1	1	1	1	1	1
g004685	1	1	1	1	1	1	1	1	1	1	0	1
g004686	0	0	1	1	1	1	1	1	0	1	0	1
g004687	0	0	0	0	1	1	1	1	0	1	0	0
g004688	1	1	1	1	1	1	1	1	1	1	1	1
g004689	1	1	1	1	1	1	1	1	1	1	1	1
g004690	1	1	1	1	1	1	1	1	1	1	1	1
g004691	1	1	1	1	1	1	1	1	1	1	1	1
g004692	1	1	1	1	1	1	1	1	1	1	1	1
g004693	1	1	1	1	1	1	1	1	1	1	1	1
g004694	1	1	1	1	1	1	1	1	1	1	1	1
g004695	0	1	1	1	1	1	1	1	1	1	1	1
g004696	1	1	1	1	1	1	1	1	1	1	1	1
g004697	1	1	0	0	1	0	1	0	0	1	1	1
g004698	1	1	1	1	1	1	1	1	1	1	1	1
g004699	0	1	1	1	1	1	1	1	1	1	1	1
g004700	1	1	1	1	1	1	1	1	1	1	1	1
g004701	1	1	1	1	1	1	1	1	1	1	1	1
g004702	1	1	1	1	1	1	1	1	1	1	1	1
g004703	0	1	1	1	1	1	1	1	1	1	1	1
g004704	0	1	1	1	0	0	1	1	1	1	1	1
g004705	1	0	1	1	1	1	1	1	0	1	1	0
g004706	1	1	1	1	0	1	1	0	1	1	0	1
g004707	0	0	0	0	0	0	0	0	0	1	0	0
g004708	1	1	0	0	0	0	0	0	1	1	0	1
g004709	1	1	1	1	1	1	1	1	1	1	1	1
g004710	1	1	1	1	1	1	0	1	1	1	1	1
g004711	0	0	1	1	1	1	1	1	0	1	0	1
g004712	1	1	1	1	1	1	1	1	1	1	1	1
g004713	1	1	1	1	1	1	1	1	1	1	1	1
g004714	1	1	1	1	1	1	1	1	1	1	1	0
g004715	0	1	1	1	1	1	1	1	1	1	1	1
g004716	1	1	1	1	1	1	1	1	1	1	1	1
g004717	0	0	0	0	0	0	0	0	0	1	0	1
g004718	1	1	1	1	1	1	1	0	1	1	1	1
g004719	0	1	0	0	0	0	0	0	0	1	0	0
g004720	1	1	1	1	1	1	1	0	1	1	1	1
g004721	1	1	1	1	1	1	1	1	1	1	1	1
g004722	0	0	0	0	0	0	0	0	0	1	0	0
g004723	1	1	1	1	1	1	1	1	1	1	0	1
g004724	0	1	1	1	0	0	1	1	1	1	1	1
g004725	1	1	1	1	0	1	1	1	1	1	1	1
g004726	0	1	1	1	1	1	1	1	1	1	1	1
g004727	1	1	1	1	1	1	1	1	1	1	1	1
g004728	0	1	1	1	1	1	1	0	1	1	0	1
g004729	1	1	1	1	1	1	1	1	1	1	1	1
g004730	0	0	0	0	0	0	0	0	0	1	0	0
g004731	1	1	1	1	1	1	1	0	1	1	1	1
g004732	0	0	0	0	0	0	0	1	0	1	0	0
g004733	1	1	1	1	1	1	1	1	1	1	1	1
g004734	1	1	1	1	1	1	1	1	1	1	1	1
g004735	1	1	0	1	0	0	0	1	1	1	0	0
g004736	1	0	1	1	1	1	1	1	1	1	1	0
g004737	0	1	1	1	1	1	1	1	1	1	1	1
g004738	1	1	1	1	1	1	1	1	1	1	1	1
g004739	0	0	1	1	1	1	1	1	1	1	0	1
g004740	1	1	1	1	1	1	1	1	1	1	1	1
g004741	1	1	1	1	1	1	1	1	1	1	1	1
g004742	1	1	1	1	1	1	1	1	1	1	1	1
g004743	1	1	1	1	1	1	1	1	1	1	0	1
g004744	1	0	0	0	0	0	0	0	0	1	0	0
g004745	0	1	1	1	1	1	1	1	1	1	1	0
g004746	0	0	0	0	0	0	0	0	0	1	0	0
g004747	0	1	1	1	1	1	1	1	1	1	1	1
g004748	1	1	1	1	1	1	1	1	1	1	1	1
g004749	0	0	0	1	0	1	1	0	1	1	1	0
g004750	1	1	1	1	1	1	1	1	1	1	1	1
g004751	0	0	1	1	1	1	1	1	1	1	1	0
g004752	0	0	0	0	0	0	0	0	0	1	1	0
g004753	1	1	1	1	1	1	1	1	1	1	1	1
g004754	1	1	1	1	0	1	1	1	1	1	1	1
g004755	1	1	1	1	1	1	1	1	1	1	1	0
g004756	0	1	1	1	1	1	1	1	0	1	1	0
g004757	1	1	1	1	1	1	1	1	1	1	1	1
g004758	1	1	1	1	1	1	1	1	1	1	1	1
g004759	1	1	1	1	1	1	1	1	1	1	1	0
g004760	1	1	1	1	1	1	1	1	1	1	1	1
g004761	0	0	0	0	0	0	0	0	0	1	0	0
g004762	1	1	1	1	1	1	1	1	0	1	1	0
g004763	0	0	0	0	0	0	0	0	0	1	0	0
g004764	1	1	1	1	1	1	1	1	1	1	1	1
g004765	0	0	0	0	0	0	0	0	0	1	0	0
g004766	0	0	0	0	0	0	0	0	0	1	0	0
g004767	0	0	0	0	0	0	0	0	0	1	0	0
g004768	1	1	1	1	1	1	1	1	1	1	1	1
g004769	1	1	1	1	1	1	1	1	1	1	1	1
g004770	1	1	1	1	1	1	1	1	1	1	1	1
g004771	0	0	0	0	0	0	0	0	0	1	0	0
g004772	1	1	1	1	1	1	1	1	1	1	1	1
g004773	1	1	1	0	0	1	0	0	1	1	1	0
g004774	1	1	1	1	1	1	1	1	1	1	1	1
g004775	1	1	0	0	0	0	0	0	1	1	0	0
g004776	1	1	1	1	1	1	1	1	1	1	1	1
g004777	1	1	1	1	1	1	1	1	1	1	1	1
g004778	0	0	0	1	1	1	1	1	0	1	0	0
g004779	1	1	1	1	1	1	1	1	1	1	1	1
g004780	1	1	1	1	1	1	1	1	1	1	1	1
g004781	1	1	1	1	1	1	1	1	1	1	1	1
g004782	0	0	1	1	1	1	1	1	0	1	0	0
g004783	1	0	1	1	1	1	1	1	1	1	0	1
g004784	1	1	1	1	1	1	1	0	1	1	1	1
g004785	0	0	1	1	1	1	1	1	0	1	0	0
g004786	0	0	1	1	1	1	1	1	0	1	0	0
g004787	0	1	0	0	1	0	0	1	1	1	1	0
g004788	0	0	0	0	0	0	0	0	0	1	0	0
g004789	0	0	1	1	1	1	1	1	0	1	1	0
g004790	1	1	1	1	0	1	1	1	1	1	1	1
g004791	0	0	0	0	0	0	0	0	0	1	0	0
g004792	1	1	1	1	1	1	1	1	1	1	1	1
g004793	1	1	1	1	1	1	1	1	1	1	1	1
g004794	1	1	1	1	1	1	1	1	1	1	1	1
g004795	1	1	1	1	1	1	1	1	1	1	1	1
g004796	1	1	1	1	1	1	1	1	1	1	1	1
g004797	0	0	0	0	0	0	0	1	0	1	0	0
g004798	1	1	1	1	1	1	1	1	1	1	1	1
g004799	0	0	1	1	1	1	1	1	1	1	1	1
g004800	0	0	0	0	0	0	0	0	0	1	0	0
g004801	1	1	1	1	1	1	1	1	1	1	1	1
g004802	1	1	1	1	1	1	1	1	1	1	1	1
g004803	1	1	1	1	1	1	1	1	1	1	1	1
g004804	1	1	1	1	1	1	1	1	1	1	1	1
g004805	0	1	0	0	0	0	0	0	0	1	0	0
g004806	1	1	1	1	1	1	1	1	1	1	1	1
g004807	1	1	1	1	1	1	1	1	1	1	1	1
g004808	1	1	1	1	1	1	1	1	1	1	1	1
g004809	1	1	1	1	1	1	1	1	1	1	1	1
g004810	1	1	1	1	1	1	1	0	1	1	1	0
g004811	1	1	1	1	1	1	1	1	1	1	1	1
g004812	1	1	1	1	1	1	1	1	1	1	1	1
g004813	1	1	1	1	1	1	1	0	1	1	1	1
g004814	0	0	1	1	1	1	1	1	0	1	0	0
g004815	1	1	1	1	1	1	1	1	1	1	1	1
g004816	1	1	1	1	0	1	1	1	1	1	0	0
g004817	1	1	1	1	1	1	1	1	1	1	1	1
g004818	1	1	1	1	1	1	1	1	1	1	1	1
g004819	1	1	1	1	1	1	1	1	1	1	1	1
g004820	1	1	1	1	1	1	1	0	1	1	1	1
g004821	1	1	1	1	1	1	1	1	1	1	1	1
g004822	0	0	0	0	0	0	0	0	0	1	0	0
g004823	1	1	1	1	1	1	1	1	1	1	1	1
g004824	1	1	1	1	1	1	1	1	1	1	1	1
g004825	0	0	1	0	0	0	0	0	0	1	0	0
g004826	1	1	1	1	1	1	1	1	1	1	1	1
g004827	1	1	0	0	1	0	0	1	1	1	1	1
g004828	1	1	0	0	0	0	0	0	1	1	1	1
g004829	1	1	0	0	0	1	1	1	1	1	1	0
g004830	0	1	1	1	1	1	1	0	1	1	1	1
g004831	1	1	1	1	1	1	1	1	1	1	1	1
g004832	1	1	1	1	1	1	1	1	1	1	1	1
g004833	1	1	1	1	1	1	1	1	1	1	1	1
g004834	1	1	1	1	1	1	1	1	1	1	1	1
g004835	1	1	1	1	1	1	1	1	1	1	1	0
g004836	1	1	1	1	1	1	1	0	1	1	1	1
g004837	1	1	1	1	1	1	1	1	1	1	1	1
g004838	1	1	1	1	1	1	1	1	1	1	1	1
g004839	0	1	1	1	1	1	1	1	1	1	1	0
g004840	1	1	1	1	1	1	1	1	1	1	1	0
g004841	0	0	0	0	1	0	0	1	0	1	1	0
g004842	0	0	0	0	0	0	0	0	0	1	0	0
g004843	0	1	0	0	1	1	1	1	0	1	0	0
g004844	1	1	1	1	1	1	1	1	1	1	1	1
g004845	0	0	0	0	0	0	0	0	0	1	1	0
g004846	0	0	1	1	1	1	1	1	0	1	1	1
g004847	0	0	1	1	1	1	1	1	0	1	1	0
g004848	1	1	1	1	1	1	1	1	1	1	1	1
g004849	1	1	1	1	1	1	1	1	1	1	1	1
g004850	1	1	1	1	1	1	1	1	1	1	1	0
g004851	1	1	1	1	1	1	1	1	1	1	1	1
g004852	0	0	1	1	1	1	1	0	0	1	0	1
g004853	1	1	1	1	1	1	1	1	1	1	0	1
g004854	0	0	0	0	0	0	0	0	0	1	0	0
g004855	0	0	0	0	0	0	0	0	0	1	0	0
g004856	1	1	1	1	1	1	1	1	1	1	1	1
g004857	1	0	0	0	0	0	0	0	0	1	0	0
g004858	1	1	1	1	1	1	0	1	1	1	1	1
g004859	1	1	1	1	1	1	1	1	1	1	1	1
g004860	1	1	1	1	1	1	1	1	1	1	1	1
g004861	0	0	0	0	0	0	0	0	0	1	0	1
g004862	0	1	1	1	0	1	0	1	1	1	0	0
g004863	1	1	1	1	1	1	1	1	1	1	1	1
g004864	0	1	1	1	1	1	1	1	1	1	1	1
g004865	1	1	0	0	0	0	0	0	1	1	0	1
g004866	0	1	1	0	1	1	1	0	1	1	1	0
g004867	0	0	1	1	1	1	1	0	1	1	1	1
g004868	1	1	1	1	1	1	1	1	1	1	1	1
g004869	0	1	1	1	1	1	1	1	1	1	1	1
g004870	1	1	1	1	0	1	1	1	1	1	1	1
g004871	1	1	1	1	1	1	1	1	1	1	1	1
g004872	0	0	0	0	0	0	0	0	0	1	0	0
g004873	1	1	1	1	1	1	1	1	1	1	1	1
g004874	1	1	1	1	1	1	1	1	1	1	1	1
g004875	1	1	1	1	1	1	1	1	1	1	1	1
g004876	1	1	1	1	1	1	1	1	1	1	1	1
g004877	0	0	1	1	0	1	1	1	1	1	1	1
g004878	1	1	1	1	1	1	1	1	1	1	1	1
g004879	1	1	1	1	1	1	1	1	1	1	1	1
g004880	0	0	0	0	0	0	0	0	0	1	1	0
g004881	0	1	1	1	1	1	1	0	1	1	1	1
g004882	0	1	1	1	1	1	1	0	1	1	1	1
g004883	0	1	1	1	1	1	1	0	1	1	1	1
g004884	1	1	1	1	1	1	1	0	1	1	1	1
g004885	1	1	1	1	1	1	1	1	1	1	1	1
g004886	0	0	0	0	0	0	0	0	0	1	0	0
g004887	1	1	1	1	1	1	1	1	1	1	1	1
g004888	1	1	1	1	1	1	1	1	1	1	1	1
g004889	0	1	1	1	1	1	1	1	1	1	1	1
g004890	0	0	0	0	0	0	0	0	1	1	0	0
g004891	1	1	1	1	1	1	1	1	1	1	1	1
g004892	1	1	1	1	1	1	1	1	1	1	1	1
g004893	0	0	1	1	1	1	1	1	0	1	1	1
g004894	1	1	1	1	1	1	1	1	1	1	1	1
g004895	1	1	1	1	1	1	1	1	1	1	1	1
g004896	1	1	0	0	1	0	1	1	1	1	1	1
g004897	0	1	1	1	1	1	1	1	1	1	1	1
g004898	0	0	0	0	0	0	0	0	0	1	0	0
g004899	0	0	0	0	0	0	0	0	0	1	0	0
g004900	1	1	1	1	1	1	1	1	1	1	1	1
g004901	1	1	1	1	1	1	1	1	1	1	0	1
g004902	1	1	1	1	1	1	1	1	1	1	1	1
g004903	0	0	1	1	1	1	1	1	1	1	0	1
g004904	1	1	1	1	1	1	1	1	1	1	1	1
g004905	0	0	0	0	0	0	0	0	0	1	0	0
g004906	1	1	1	1	0	1	1	1	1	1	1	1
g004907	0	1	1	1	1	1	1	1	1	1	1	1
g004908	1	1	1	1	1	1	1	1	1	1	1	1
g004909	0	0	0	0	0	0	0	0	0	1	0	0
g004910	0	1	1	1	1	1	1	1	1	1	0	1
g004911	1	1	1	1	1	1	1	1	1	1	1	1
g004912	1	1	1	1	1	1	1	1	1	1	1	1
g004913	1	1	1	1	1	1	1	1	1	1	1	1
g004914	1	1	1	1	1	1	1	1	1	1	1	1
g004915	1	1	1	1	1	1	1	1	1	1	1	1
g004916	1	1	1	1	1	1	1	1	1	1	0	1
g004917	0	0	1	1	1	1	1	0	0	1	0	0
g004918	0	1	1	1	1	1	1	1	1	1	0	0
g004919	1	1	1	1	1	1	1	1	1	1	0	0
g004920	1	1	1	1	0	1	1	1	1	1	0	1
g004921	1	1	1	1	1	1	1	1	1	1	0	1
g004922	1	0	1	1	1	1	1	0	1	1	0	1
g004923	1	1	1	1	1	1	1	1	1	1	0	1
g004924	1	1	1	1	1	1	1	1	1	1	1	1
g004925	1	1	1	1	1	1	1	1	1	1	1	1
g004926	0	1	1	1	1	1	1	1	1	1	1	1
g004927	1	1	1	1	1	1	1	1	1	1	1	1
g004928	1	1	1	1	1	1	1	1	1	1	1	1
g004929	1	1	1	1	1	1	1	1	1	1	1	1
g004930	1	1	1	1	1	1	1	1	1	1	1	0
g004931	1	1	1	1	1	1	1	1	1	1	1	0
g004932	1	1	1	1	1	1	1	1	1	1	1	0
g004933	0	1	1	1	1	1	1	1	1	1	1	1
g004934	1	1	1	1	1	1	1	0	1	1	1	0
g004935	0	1	1	1	1	1	1	1	1	1	1	1
g004936	1	1	1	1	1	0	1	1	1	1	0	1
g004937	0	1	1	1	1	1	1	0	1	1	1	1
g004938	0	1	1	1	1	1	1	1	1	1	1	1
g004939	1	1	1	1	1	1	1	1	1	1	1	1
g004940	1	1	1	1	1	1	1	1	1	1	0	1
g004941	1	1	0	1	1	1	1	1	1	1	1	0
g004942	1	1	1	1	1	1	1	1	1	1	1	1
g004943	1	0	0	0	0	0	0	0	0	1	0	1
g004944	0	0	1	1	1	0	0	0	0	1	0	1
g004945	1	1	1	1	1	1	1	0	1	1	1	1
g004946	1	1	1	1	1	1	1	1	0	1	0	0
g004947	1	0	0	0	0	0	0	0	0	1	0	0
g004948	1	1	0	0	0	1	0	1	1	1	0	1
g004949	0	1	1	1	1	1	1	1	1	1	1	1
g004950	1	1	1	1	1	1	1	1	1	1	1	1
g004951	1	0	0	0	0	0	1	0	0	1	0	0
g004952	1	1	1	1	1	1	1	1	1	1	1	1
g004953	1	0	1	1	1	1	1	1	1	1	1	1
g004954	0	0	1	1	1	1	1	1	0	1	1	0
g004955	1	1	1	1	1	1	1	1	1	1	1	1
g004956	1	1	1	1	1	1	1	1	1	1	0	1
g004957	1	1	1	1	1	1	1	1	1	1	0	1
g004958	1	1	1	1	1	1	1	1	1	1	0	1
g004959	0	0	0	0	0	0	0	0	0	1	0	0
g004960	0	0	0	0	0	0	0	0	0	1	0	1
g004961	0	0	1	1	1	1	1	1	1	1	1	0
g004962	0	0	0	0	1	0	0	0	0	1	0	0
g004963	0	0	0	0	0	0	0	1	0	1	0	0
g004964	0	0	1	1	1	1	1	1	0	1	0	1
g004965	0	0	1	1	1	1	1	1	0	1	0	0
g004966	1	1	1	1	1	1	1	1	1	1	1	1
g004967	0	0	0	0	0	0	0	0	0	1	0	0
g004968	1	1	1	1	1	1	1	1	1	1	1	1
g004969	0	0	0	0	0	0	0	0	0	1	0	0
g004970	0	0	0	1	1	0	0	0	0	1	0	0
g004971	1	0	1	1	1	1	1	1	1	1	1	1
g004972	1	1	1	1	1	1	1	1	1	1	1	1
g004973	1	0	1	1	1	1	1	1	0	1	0	0
g004974	1	1	1	1	1	1	1	1	1	1	1	1
g004975	0	0	1	1	1	1	1	1	0	1	0	1
g004976	0	0	0	0	0	0	0	1	0	1	0	0
g004977	0	0	0	1	1	0	0	1	0	1	0	0
g004978	0	0	1	1	1	1	1	1	0	1	0	1
g004979	1	1	1	1	1	1	1	1	1	1	1	1
g004980	0	0	1	1	1	1	1	1	0	1	0	0
g004981	0	0	1	1	1	1	1	1	0	1	0	0
g004982	0	0	0	0	0	0	0	0	0	1	0	0
g004983	0	0	0	0	0	0	0	0	0	1	0	0
g004984	0	0	0	0	0	0	0	0	0	1	0	0
g004985	1	1	1	1	1	1	1	1	1	1	1	1
g004986	1	1	0	0	0	0	0	0	0	1	0	0
g004987	1	1	1	1	1	1	1	1	1	1	1	1
g004988	0	1	1	1	1	1	1	1	1	1	1	1
g004989	1	1	1	1	1	1	1	1	1	1	1	1
g004990	1	1	1	1	1	1	1	1	1	1	1	1
g004991	0	0	1	1	1	1	1	1	1	1	1	1
g004992	0	0	0	0	0	0	0	0	0	1	0	0
g004993	0	1	0	0	0	0	0	0	1	1	0	0
g004994	0	0	0	0	0	0	0	0	0	1	0	0
g004995	1	1	1	1	1	1	1	1	1	1	1	1
g004996	1	1	1	1	1	1	1	1	1	1	1	1
g004997	1	1	1	1	1	1	1	1	1	1	1	1
g004998	1	1	1	1	1	1	1	1	1	1	1	1
g004999	1	1	1	1	1	1	1	1	1	1	1	1
g005000	0	1	1	1	1	1	1	1	1	1	1	1
g005001	1	1	1	1	1	1	1	1	1	1	1	0
g005002	1	1	1	1	1	1	1	1	1	1	1	1
g005003	1	1	1	1	1	1	1	0	1	1	1	1
g005004	1	1	1	1	1	1	1	1	1	1	1	1
g005005	0	0	1	1	1	1	1	1	0	1	0	0
g005006	0	0	0	0	0	0	0	0	0	1	0	0
g005007	0	0	0	0	0	0	0	0	0	1	0	0
g005008	1	1	0	1	0	1	0	1	1	1	1	0
g005009	0	0	0	0	0	0	0	0	0	1	0	0
g005010	0	0	0	0	0	0	0	0	0	1	0	0
g005011	0	0	0	0	0	0	0	0	0	1	0	0
g005012	0	1	0	0	0	0	0	0	1	1	0	0
g005013	1	1	1	1	1	1	1	1	1	1	1	1
g005014	0	0	1	0	0	0	0	0	0	1	0	0
g005015	1	0	0	0	0	0	0	0	0	1	0	0
g005016	1	1	1	1	1	1	1	1	1	1	1	1
g005017	0	0	1	1	1	1	0	1	0	1	0	0
g005018	0	0	1	1	1	1	1	1	0	1	0	0
g005019	0	0	1	0	1	1	1	1	0	1	0	0
g005020	0	0	1	1	1	1	1	1	0	1	0	0
g005021	1	1	1	1	1	1	1	1	1	1	1	1
g005022	0	0	0	0	0	0	0	0	0	1	0	0
g005023	0	0	1	1	0	1	1	1	1	1	1	1
g005024	1	1	1	1	1	1	1	1	1	1	1	1
g005025	1	1	1	1	1	1	1	1	1	1	1	1
g005026	1	1	1	1	1	1	1	1	1	1	0	1
g005027	1	1	1	1	1	1	1	1	1	1	1	1
g005028	0	0	0	0	0	0	0	0	0	1	0	0
g005029	0	0	0	0	0	0	0	0	0	1	0	0
g005030	0	0	0	0	0	0	0	0	0	1	0	0
g005031	0	0	0	0	0	0	0	0	0	1	0	0
g005032	0	0	1	0	0	0	0	0	0	1	0	0
g005033	1	1	1	1	1	1	1	1	1	1	1	1
g005034	0	0	1	1	1	1	1	1	1	1	1	0
g005035	1	1	0	1	1	1	0	1	1	1	0	1
g005036	1	1	1	1	1	1	1	1	1	1	1	1
g005037	1	1	1	1	1	1	1	1	1	1	1	1
g005038	0	0	0	0	0	0	0	0	0	1	0	1
g005039	1	1	1	1	1	1	1	1	1	1	1	1
g005040	0	1	1	1	1	1	1	1	1	1	1	1
g005041	1	1	1	1	1	1	1	1	1	1	1	1
g005042	0	0	0	0	0	0	1	1	0	1	0	0
g005043	1	1	1	1	1	1	1	1	1	1	1	1
g005044	1	1	1	1	1	1	1	1	1	1	1	1
g005045	0	0	0	0	0	0	0	0	0	1	0	0
g005046	1	1	1	1	1	1	1	1	1	1	1	1
g005047	0	0	0	0	0	0	0	0	0	1	0	0
g005048	0	0	0	0	0	0	0	0	0	1	0	0
g005049	1	1	1	1	1	1	1	1	1	1	1	1
g005050	1	1	1	1	1	1	1	1	1	1	1	1
g005051	0	0	0	0	0	0	0	0	0	1	0	0
g005052	0	0	0	0	0	0	0	0	0	1	0	0
g005053	0	0	0	0	0	0	0	0	0	1	0	0
g005054	1	1	1	1	1	1	1	1	1	1	1	1
g005055	1	1	1	1	1	1	1	1	1	1	1	1
g005056	0	0	0	0	0	0	0	0	0	1	0	0
g005057	0	1	1	1	1	1	1	1	1	1	1	1
g005058	1	1	1	1	1	1	1	1	1	1	1	1
g005059	1	1	1	1	1	1	1	1	1	1	1	1
g005060	1	1	1	1	1	1	1	1	1	1	1	1
g005061	1	1	1	1	1	1	1	1	1	1	1	1
g005062	1	1	1	1	1	1	1	1	1	1	1	0
g005063	0	0	0	0	0	0	0	0	0	1	0	0
g005064	1	0	0	0	0	0	0	1	0	1	0	0
g005065	1	1	1	1	1	1	1	1	1	1	1	1
g005066	1	1	1	1	1	1	1	1	1	1	1	1
g005067	0	1	1	1	1	1	1	1	1	1	1	1
g005068	1	1	1	1	1	1	1	1	1	1	1	1
g005069	1	1	1	1	1	1	1	1	1	1	1	1
g005070	1	1	1	1	1	1	1	1	1	1	1	1
g005092	1	1	1	1	0	1	1	1	1	1	1	0
g005105	1	1	0	0	1	0	0	0	0	0	1	0
g005117	1	1	1	1	1	1	1	1	1	1	0	1
g005118	1	1	1	1	1	1	1	1	1	1	1	1
g005131	1	1	1	1	1	1	1	1	1	1	1	1
g005155	1	1	1	1	1	1	1	1	1	1	0	1
g005191	1	1	0	1	1	1	1	1	1	1	0	0
g005198	1	1	1	1	1	1	1	1	1	1	1	1
g005206	0	0	1	1	1	1	1	1	1	1	1	0
g005253	1	1	1	1	1	1	1	1	1	1	1	0
g005268	1	1	1	1	1	1	1	1	1	1	1	1
g005286	0	0	0	0	0	0	0	0	0	1	0	0
g005288	0	1	1	1	1	1	1	0	1	1	1	1
g005470	0	0	0	0	0	0	0	0	0	0	0	1
g005483	1	1	1	1	1	1	1	1	1	1	1	0
g005499	1	1	1	1	1	1	1	1	1	1	1	1
g005521	1	1	1	1	1	1	1	1	1	1	1	1
g005528	1	1	1	1	1	1	1	1	1	1	1	1
g005529	1	1	1	1	1	1	1	1	1	1	1	1
g005530	1	1	1	1	1	1	1	0	1	1	1	1
g005537	1	1	1	1	1	1	1	1	1	1	1	1
g005538	0	1	1	1	1	1	1	1	1	1	1	1
g005556	1	1	1	1	1	1	0	0	1	1	1	1
g005567	1	1	1	1	1	1	1	1	1	1	1	1
g005591	1	1	1	1	1	1	1	1	1	1	1	1
g005592	1	1	1	1	1	1	1	1	1	1	1	1
g005631	0	0	0	1	1	1	1	0	0	0	1	0
g005654	0	0	0	0	0	1	1	1	1	0	1	0
g005668	1	1	1	1	1	1	1	1	1	1	1	1
g005712	1	1	1	1	1	1	1	1	1	1	1	1
g005721	1	1	1	1	1	1	1	1	1	1	1	1
g005726	0	0	0	0	0	0	0	0	0	0	0	1
g005734	1	1	1	1	1	1	1	1	1	1	1	1
g005735	0	0	1	0	0	0	1	0	1	0	0	1
g005737	1	1	1	1	1	1	1	0	1	1	1	1
g005817	1	1	1	1	1	1	1	1	1	1	1	1
g005823	1	1	1	1	1	1	1	1	1	1	1	1
g005844	0	0	0	0	0	0	0	0	0	1	0	0
g005876	0	0	0	0	0	0	0	0	0	1	0	0
g006005	0	1	1	1	1	1	1	1	1	1	1	1
g006048	1	1	1	1	1	0	0	1	0	1	0	1
g006061	1	1	1	1	1	1	1	1	1	1	1	1
g006095	0	0	0	0	0	0	0	0	0	1	0	0
g006105	1	1	1	1	1	1	1	1	1	1	1	1
g006113	0	1	1	1	1	1	1	1	1	1	1	1
g006125	1	0	1	1	0	1	1	1	0	1	0	0
g006204	0	0	0	0	1	0	0	1	0	1	0	0
g006220	1	1	0	0	1	0	0	0	1	1	1	1
g006239	1	1	0	0	0	0	0	1	1	0	0	1
g006275	0	0	0	0	0	0	0	0	0	0	0	1
g006496	0	0	0	0	0	0	0	0	0	1	0	0
g006597	1	1	1	1	1	1	1	1	1	1	1	1
g006805	1	1	1	1	1	1	1	1	1	1	1	1
g006807	0	1	0	0	0	0	0	1	1	0	1	1
g006844	0	0	0	0	0	1	0	1	0	1	0	0
g006876	1	1	1	1	1	1	1	1	1	1	1	1
g006949	0	0	0	0	0	0	0	0	0	1	0	0
g006951	0	1	0	0	0	1	1	1	0	0	1	0
g007038	1	0	1	1	1	1	1	1	1	1	1	1
g007059	1	1	1	1	1	1	1	1	1	1	1	1
g007073	0	1	1	1	1	1	1	0	1	1	1	1
g007090	1	1	1	1	1	1	1	1	1	1	1	1
g007135	0	1	1	1	1	1	1	1	1	1	1	1
g007158	1	1	1	1	1	1	1	1	1	1	0	1
g007188	1	1	1	1	1	1	1	1	1	1	1	1
g007189	1	1	1	1	1	1	1	1	1	1	1	1
g007216	1	0	0	0	0	0	0	0	0	0	1	0
g007224	0	0	0	0	0	0	0	0	0	1	0	0
g007228	0	0	0	0	0	0	0	0	0	1	0	0
g007278	0	1	1	1	1	1	1	1	1	1	1	1
g007286	1	1	1	1	1	1	1	1	1	1	1	1
g007298	0	1	1	1	1	1	1	1	1	0	1	0
g007312	0	1	1	1	1	1	1	0	1	1	1	1
g007326	0	0	0	0	1	0	0	0	0	0	0	1
g007327	0	0	1	0	1	0	0	0	0	1	0	0
g007328	0	0	1	1	1	1	1	1	0	1	1	0
g007348	1	1	1	1	1	1	1	1	1	0	1	1
g007453	1	1	1	1	1	1	1	1	1	1	1	1
g007510	1	1	1	0	0	0	0	0	1	0	1	0
g007512	1	1	1	1	1	1	1	1	1	1	1	1
g007515	1	1	1	1	1	1	1	1	1	1	1	1
g007544	1	1	0	0	0	0	0	0	1	1	0	0
