# Pathway	C011bmtagger1.fastq.noduplicatesAbundance	C022bmtagger1.fastq.noduplicatesAbundance	C033bmtagger1.fastq.noduplicatesAbundance	C044bmtagger1.fastq.noduplicatesAbundance	C055bmtagger1.fastq.noduplicatesAbundance	C066bmtagger1.fastq.noduplicatesAbundance	C077bmtagger1.fastq.noduplicatesAbundance	C088bmtagger1.fastq.noduplicatesAbundance	C099bmtagger1.fastq.noduplicatesAbundance	C1010bmtagger1.fastq.noduplicatesAbundance	C1111bmtagger1.fastq.noduplicatesAbundance	C1212bmtagger1.fastq.noduplicatesAbundance	D0113bmtagger1.fastq.noduplicatesAbundance	D0214bmtagger1.fastq.noduplicatesAbundance	D0315bmtagger1.fastq.noduplicatesAbundance	D0416bmtagger1.fastq.noduplicatesAbundance	D0517bmtagger1.fastq.noduplicatesAbundance	D0618bmtagger1.fastq.noduplicatesAbundance	D0719bmtagger1.fastq.noduplicatesAbundance	D0820bmtagger1.fastq.noduplicatesAbundance	D0921bmtagger1.fastq.noduplicatesAbundance	D1022bmtagger1.fastq.noduplicatesAbundance	D1123bmtagger1.fastq.noduplicatesAbundance	D1224bmtagger1.fastq.noduplicatesAbundance	E0125bmtagger1.fastq.noduplicatesAbundance	E0226bmtagger1.fastq.noduplicatesAbundance	E0327bmtagger1.fastq.noduplicatesAbundance	E0428bmtagger1.fastq.noduplicatesAbundance	E0529bmtagger1.fastq.noduplicatesAbundance	E0630bmtagger1.fastq.noduplicatesAbundance	E0731bmtagger1.fastq.noduplicatesAbundance	E0832bmtagger1.fastq.noduplicatesAbundance	E0933bmtagger1.fastq.noduplicatesAbundance	E1034bmtagger1.fastq.noduplicatesAbundance	E1135bmtagger1.fastq.noduplicatesAbundance	E1236bmtagger1.fastq.noduplicatesAbundance	F0137bmtagger1.fastq.noduplicatesAbundance	F0238bmtagger1.fastq.noduplicatesAbundance	F0339bmtagger1.fastq.noduplicatesAbundance	F0440bmtagger1.fastq.noduplicatesAbundance	F0541bmtagger1.fastq.noduplicatesAbundance	F0642bmtagger1.fastq.noduplicatesAbundance	F0743bmtagger1.fastq.noduplicatesAbundance	F0844bmtagger1.fastq.noduplicatesAbundance	F0945bmtagger1.fastq.noduplicatesAbundance	F1046bmtagger1.fastq.noduplicatesAbundance	F1147bmtagger1.fastq.noduplicatesAbundance	F1248bmtagger1.fastq.noduplicatesAbundance
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Streptococcus.s__Streptococcus_infantis	0	0	967.392	0	0	0	0	0	0	0	0	230.978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315.41	0	0	0	879.798	0	0	785.885	0	350.315	2181.98	0	0	0	0	44.7763	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	5140.76	3792.45	2634.13	0	0	0	0	0	0	798.564	0	637.991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1174.45	0	921.646	1385.46	3627.32	207.92	0	1331.09	0	0	2327.96	0	0	0	258.21	575.283	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	626.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.536	0	0	0	0	80.8101	549.953	0	0	0	68.2381	100.318	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Streptococcus.s__Streptococcus_sanguinis	0	0	235.507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2569.98	1355.87	0	0	35.4712	0	0	0	0	0	309.452	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Staphylococcus.s__Staphylococcus_aureus	3992.22	1693.31	0	3871.54	0	0	29031.8	23624.4	0	6094.77	24882.4	15366.9	0	0	0	0	5214.53	4577.62	0	0	85058.5	5127.05	1280.22	0	7304.25	24656.9	10415.2	0	0	0	0	4807.25	18666.4	1839.09	0	0	12266.1	12843.5	24172.8	22467.6	184.91	8809.59	9486.63	8557.09	3833.99	3921.47	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Staphylococcus.s__Staphylococcus_epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_anginosus	0	0	32.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_australis	0	0	152.123	0	0	0	0	0	0	1071.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336.902	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67173	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_gordonii	0	0	26.7447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6356	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_infantis	0	425.514	1271.73	0	0	0	0	0	0	121.029	0	584.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557.732	0	0	962.397	1453.17	0	738.024	399.018	0	479.352	2720.86	0	0	0	0	80.3756	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	5576.14	3791.37	2997.1	0	0	0	0	0	0	419.108	0	790.663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973.503	0	836.986	2359.47	4108.06	0	0	562.069	0	0	3241.18	0	0	0	110.61	481.419	0	18818.4
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_parasanguinis	0	486.227	952.662	0	0	0	0	0	0	0	0	153.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.969	0	0	650.313	0	284.18	560.624	0	0	0	151.219	256.728	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2958.71	417.267	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.4	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_sanguinis	0	0	303.663	0	0	0	0	0	0	0	0	51.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3767.44	2722.28	0	0	63.7344	0	0	0	0	0	332.885	0	0	0	46.3201	51.4056	0	0
LACTOSECAT-PWY: lactose and galactose degradation I|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.078	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Oribacterium.s__Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219.456	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_infantis	0	0	501.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.74	0	0	0	247.669	0	0	0	0	73.2433	1359.27	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	4024.09	2273.79	1798.02	0	0	0	0	0	0	277.537	0	590.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760.786	0	453.192	1256.87	3088.97	201.113	0	774.395	0	0	1095.22	0	0	0	0	289.811	0	10423.7
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	0	0	166.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986.129	698.433	0	0	12.2951	0	0	0	0	0	215.489	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.31262	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Oribacterium.s__Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258.141	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_infantis	0	0	450.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.601	0	0	0	219.422	0	0	0	0	64.6552	1249.21	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	4421.13	2297.52	1781.76	0	0	0	0	0	0	281.174	0	688.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806.338	0	516.579	1357.69	3131.27	255.952	0	846.5	0	0	1106.34	0	0	0	0	277.556	0	9730.26
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	0	0	166.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945.226	721.147	0	0	10.8409	0	0	0	0	0	216.315	0	0	0	0	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72154	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Haemophilus.s__Haemophilus_haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218.846	0	0	276.373	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Haemophilus.s__Haemophilus_influenzae	0	0	0	6500.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14494.6	0	0	0	0	0	0	0	0	0	0	227.179	0	0	3903.67	4528.18	7349.12	6221.02	7408.14	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	66.978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.5539	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Haemophilus.s__Haemophilus_sputorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0421	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Streptococcus.s__Streptococcus_infantis	0	239.023	308.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.4498	0	0	0	646.795	0	0	763.275	0	128.275	904.108	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	144.349	0	0	0	10887.2	0	0	176.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192.865	0	0	0	72.8225	0	0	0	0	0	709.747	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825.245	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2552	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.328	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	0	0	0	4475.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8752.27	0	0	0	0	0	0	0	0	0	0	0	0	0	2654.01	2350.35	2716.52	3908.4	3458.36	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.734	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	1146.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635.044	0	0	0	0	0	0	0	0	0	0	0	536.031	0	0	0	0	127.077	68.6797	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1678	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Haemophilus.s__Haemophilus_sputorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.3251	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Lautropia.s__Lautropia_mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5637	0	0	0	0	0	4086.86	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_elongata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8493	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_flavescens	0	1486.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.984	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_macacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1990.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_sicca	0	0	383.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3067.44	0	0	0	0	0	0	0	2210.31	0	0	0	329.699	0	0	0	0	172.811	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_sp_oral_taxon_014	0	0	200.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Neisseria.s__Neisseria_subflava	0	647.222	218.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477.646	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Pseudomonas.s__Pseudomonas_aeruginosa	0	0	181.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10171.1	0	0	0	0	3237.34	0	0	0	0	0	0	0	0	9130.05	0	784.687	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	431.883	173.431	0	20270.2	22920.3	20926.4	21044.7	8816.3	11747.4	16931.6	54953.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19826	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495.769	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Actinomyces.s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.5198	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alloprevotella.s__Alloprevotella_tannerae	0	385.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Haemophilus.s__Haemophilus_haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.656	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Haemophilus.s__Haemophilus_influenzae	0	0	0	3597.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10250.4	0	0	0	0	0	0	0	0	0	0	0	0	0	2684.45	2785.21	0	4418.3	4404	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Oribacterium.s__Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.737	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Prevotella.s__Prevotella_melaninogenica	0	0	1303.03	0	0	0	0	0	0	332.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28334	0	1851.57	0	0	11.9123	0	0	0	0	0	95.6797	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Rothia.s__Rothia_aeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323.345	0	0	0	16.3157	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Rothia.s__Rothia_dentocariosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81445	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	425.762	216.892	0	20231.3	17358.5	20942.7	21659.6	8261.92	12632.7	7571.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20711.1	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Abiotrophia.s__Abiotrophia_defectiva	0	0	107.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.317	0	0	0	0	0	47.1904	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1092.02	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Candida.s__Candida_albicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3150.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Fusobacterium.s__Fusobacterium_nucleatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Gemella.s__Gemella_haemolysans	1305.63	1243.79	542.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918.261	0	0	398.457	465.583	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Granulicatella.s__Granulicatella_adiacens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5158	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Granulicatella.s__Granulicatella_elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.477	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_ICM7	0	0	77.6947	0	0	0	0	0	0	321.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.71778	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lautropia.s__Lautropia_mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9681	0	0	0	0	0	4821.29	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Oribacterium.s__Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.623	0	0	0	0	0	0	0	0	0	357.774	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Peptostreptococcus.s__Peptostreptococcus_stomatis	0	0	14.4452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.9508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Rothia.s__Rothia_dentocariosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9463	92.1114	0	0	6.44758	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Streptococcus.s__Streptococcus_pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759.176	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Veillonella.s__Veillonella_dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4326	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Veillonella.s__Veillonella_parvula	0	0	69.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.098	0	0	0	19.2261	0	0	0	0	0	174.675	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Neisseria.s__Neisseria_subflava	0	0	192.449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688.22	0	0	0	0	0	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	6655.15	0	1777.73	3674.78	1427.6	1675.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Streptococcus.s__Streptococcus_pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179.16	0	0	0	0	0	0
